Company Name,Job Title / Department (Aug 16-29 where public),Location / Vacancy Info,Walk-in or Direct Vacancy,Official / Public Apply or Contact Source,Public Recruitment / Careers Email,Public Phone,Eligibility / Salary,Two-Year QA Tablet Profile Match,Research Note
Centaur Pharmaceuticals Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.centaurpharma.com/careers/,recruitment@centaurlab.com,+91 22 – 66499100 (https://www.centaurpharma.com/contact-us/),"Experience: 1 to 8+ years depending on role (Research Associate 1-5 years, Regulatory Affairs 2-8+ years, Product Manager 2-4 years); Salary: Not publicly stated",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Centurion Laboratories Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmastuff.org/job/centurion-laboratories-regulatory-affairs,hr@centurionlaboratories.com,9925531580 (https://pharmastuff.org/job/centurion-laboratories-regulatory-affairs),"Regulatory Affairs: 2 to 5 years experience, 300,000 INR / Year salary; Production Officer: 0 to 3 years experience.",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Cipla Ltd.,"Not verified for August 16–29, 2026 window in Gujarat (ongoing recruitment active on careers.cipla.com) || Capsule - Production Officer (OSD/Production) in South Goa (Verna Industrial Estate), 2–5 years experience, posted August 12, 2026 (Source: https://www.naukri.com/job-listings-capsule-production-officer-cipla-south-goa-2-to-5-years-120826030697); Senior Operator Production in Sikkim (Rangpo), posted August 7, 2026 on Cipla Careers (Source: https://careers.cipla.com/job/Rangpo-Senior-Operator-Production-Sikk/1365525966/).",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.cipla.com/careers ; https://www.cipla.com/contact-us ; https://www.linkedin.com/posts/cipla_were-hiring-heres-your-opportunity-to-activity-7267152411276791810-cLaS,ta.hr@cipla.com,+91 22 41916000 (Corporate) / 0260-7151400 (Gujarat facility HR queries) - https://www.cipla.com/contact-us,"Qualification: B.Pharm, M.Pharm, M.Sc, B.E./B.Tech; Experience: 1–5 years; Salary/CTC: Not publicly stated || 2–5 years experience; Salary/CTC: Not publicly stated",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Ciron Drugs & Pharmaceuticals Pvt. Ltd.,"Walk-in interview drive held on August 16, 2026 at the Boisar Injectable Plant (Tarapur) for roles including Production (Asst. Manager Injection, Officer QMS, Operator LYO, Packing, Ampoule/Vial Filling, Manufacturing), Quality Assurance (Asst. Manager IPQA, Executive Specification Reviewer, Stability Reviewer, Asst. Manager QMS), Quality Control, Engineering, Microbiology, Warehouse, and EHS.",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmawisdom.co.in/ciron-drugs-walk-in-on-16th-aug-2026/,hrd@cironpharma.com,8010319276 (Source: https://pharmawisdom.co.in/ciron-drugs-walk-in-on-16th-aug-2026/),"Experience levels explicitly stated (e.g., Freshers to 4 years for officers, 2–5 years for operators, 8–10 years and 10+ years for assistant managers and managers); salary compensation details not publicly stated.",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Claris Injectables Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Claris Otsuka Pvt. Ltd.,"Quality Assurance / Quality Control Process Incharge / Sr. Process Incharge walk-in interview on August 22, 2026",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://otsukapharma.in/career-opi/,careers@otsukapharma.in,+91 79 66216000 (https://otsukapharma.in/career-opi/),2 to 6 Years experience; Salary not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Concord Biotech Ltd.,"Production (Assistant Manager, Sr. Executive, Executive, Supervisor, Officer, Granulation/Coating Operator) and Quality Control (HPLC Analyst, Dissolution & Chemical Analyst, QC Reviewer) walk-in interview on 18th August 2026 at Unit-II, Valthera, Dholka, Ahmedabad.",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmastuff.org/job/concord-biotech-production-qc-engineering-recruitment,careerfdf@concordbiotech.com; hrfdf@concordbiotech.com,+91 2714 671222 (https://concordbiotech.com/contact-us/),"2–10 years experience; CTC stated as 350,000 INR/year on job posting (role-dependent).",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Converge Biotech,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Corel Pharma Chem,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.linkedin.com/posts/corel-pharma-chem-b4761b2a3_hiring-activity-7204458093668139008-3lSr,hr@corelpharmachem.com,+91-8000880011 (Official website: https://www.corelpharmachem.com/contact-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Corona Remedies Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.linkedin.com/posts/sagar-thakkar-3ba1033a_join-our-team-at-corona-remedies-private-activity-7269645354088738816-aGac,sagart@coronaremedies.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Covalent Laboratories Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.covalentlab.com/careers.php,ta@covalentlab.com,Not publicly verified,"Eligibility: 0 to 7 years depending on role (e.g., Production Chemist / Senior Chemist: 1–7 Years; QC Chemist: 0–5 Years; R&D Executive: 2–4 Years; ETP & Bio-ETP: 2–5 Years; Water Treatment Plant In-Charge: 5–8 Years; Production Trainee Chemist: Freshers / 0–1 Year). Salary/CTC: Not publicly stated.",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Curefit Pharma,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Cureveda,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://in.linkedin.com/in/sukanya-thakre,sukanya@cureveda.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Cureveda GLO,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,+91-9691997997 https://www.cureveda.com/pages/contact,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Dabur India Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.linkedin.com/posts/deepika-e-16b82a171_greetings-from-dabur-india-ltd-we-are-hiring-activity-7150718705293754369-CWmm,deepika.e@dabur.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Dano Vaccines & Biologicals Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://in.linkedin.com/company/danovac,hr@danovaccines.com,+91 92814 43266 (https://www.danovaccines.com/careers/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Davaindia Health Mart Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Daxia Healthcare,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,+91 9106656975 - https://daxiahealthcare.com/career/,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Deccan Fine Chemicals,"Production Chemist and Utility/Mechanical Engineer walk-in interview on August 23, 2026",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.deccanchemicals.com/media-careers/careers/,careers@deccanchemicals.com,+91 40 43459999 (https://www.deccanchemicals.com/media-careers/careers/),"0-12 years experience for Production Chemist, 3-12 years experience for Utility/Mechanical Engineer; Salary: Not publicly stated",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Deepak Nitrite Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.godeepak.com/contact-us/,hr@godeepak.com,+91 265 276 5200 (https://www.godeepak.com/contact-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Dey's Medical Stores Manufacturing Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Dhanuka Laboratories Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Dhanvantari Pharmaceuticals,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Disha Pharma (Disha Pharmaceuticals),Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.dishapharma.in/contact,dishapharma08@gmail.com,"0755 4225757, https://www.dishapharma.in/contact",Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Divi's Laboratories Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.divislabs.com/api-manufacturing-company/employees/,careers@divislabs.com,"+91 (40) 6696 6300, https://www.divislabs.com/contact/",Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Dr. Reddy's Laboratories Ltd.,"Quality Assurance (QA) and Technical Operations/Production walk-in hiring drive held on August 16, 2026 at Leadership Academy, Bachupally, Hyderabad",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://careers.drreddys.com/,springboard@drreddys.com,Not publicly verified,3-10 years experience; Salary/CTC not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
East India Pharmaceutical Works Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://eastindiapharma.org/careers/,careers@eastindiapharma.org,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Elbrit Life Sciences Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.elbrit.org/job/senior-graphic-designer/,adhilekshmi.hr@elbrit.org,Not publicly verified,"Regional Business Manager: 4-6 years experience, ₹7-12 Lakhs PA; Business Executive / Medical Representative: From ₹300,000 per year (Source: Glassdoor and company job listings)",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Elcomponics,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.elcomponics.com/contact.html,career@elcomponics.com,+91-120-4743300 (https://www.elcomponics.com/contact.html),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Elder Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.instagram.com/elderlabs/p/Db7k3cfEn9R/,hr@elderpharma.com,+91 9230645272 | 9317048616 (https://www.instagram.com/elderlabs/p/Db7k3cfEn9R/),"TSO (0–6 Months Experience), ASM (2–3 Years Experience); Salary: ₹12,000 – ₹25,000 + TA/DA",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Elixia Life Sciences,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://elixialifesciences.com/,elixialifesciences@gmail.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Elkos Healthcare,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Emcure Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.emcure.com/ ; https://www.emcure.com/contact-us/,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Enaltec Labs Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmajobsinfo.com/enaltec-labs-pvt-ltd-vacancy/,hr.indore@enaltec.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Endo India Pvt. Ltd. (Par Formulations Private Limited),Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Endo Pharmaceuticals India,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Endoc Lifecare,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmajobspost.in/endoc-lifecare-pvt-ltd-announces-hiring-for-qa-qc-officer-executive-positions-apply-now/,hrd@endocpharma.com,+91 98750 91526 (https://pharmajobspost.in/endoc-lifecare-pvt-ltd-announces-hiring-for-qa-qc-officer-executive-positions-apply-now/),Experience: 3–6 Years; Salary: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Eon Lifesciences,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Eon Meditech Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://eonmeditech.com/career,hrd@eonmeditech.com,+91 0261 249 4330 (https://eonmeditech.com/career),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Eris Lifesciences Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://eris.co.in/contact-us/,hr.communication@erislifesciences.com,+91-79-69661000 (https://eris.co.in/contact-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Ethical Remedies,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Eugia Pharma Specialities Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.eugiapharma.com/contact,eugiacareers@eugiapharma.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Everest Formulations Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Exemed Pharmaceuticals Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.exemedpharma.com/home/contact-us,recruitment@exemedpharma.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Famy Care Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmatimesofficial.com/project/email-ids-of-hr-representatives-in-pharma-organizations/,hr@famycare.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Farbe Firma,"Production and QA roles with application deadline August 20, 2026 (Source: https://www.instagram.com/p/DSHiQ21gpB8/)",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://farbefirma.com/careers/,hr@farbefirma.com,+91 9998088767 (https://www.farbefirma.org/contact),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Farmson Basic Drugs Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://in.linkedin.com/company/farmson-basic-drugs-private-limited,recruitment@farmson.com,+91 7227060620 - https://in.linkedin.com/company/farmson-basic-drugs-private-limited,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
FDC Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmanika.com/pharma-freshers-job-fdc-limited-careers-2026/,sushil.kumar@fdcindia.com,9736880100 (https://pharmanika.com/pharma-freshers-job-fdc-limited-careers-2026/),"Trainee Apprentice (Fresher): Stipend ₹15,000/- per month; experienced roles (1–10 years experience for Production, QC, and QA): Salary not publicly stated (eligibility: B.Pharm, M.Pharm, M.Sc Chemistry, 12th + ITI)",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Fermenta Biotech Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Finecure Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.finecurepharma.com/join-our-team/,career@finecurepharma.com,+91 79-49030903 (https://www.finecurepharma.com/contact-us/),2–6 years experience required for production/manufacturing roles; Salary/CTC: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Flemingo Pharma Pvt. Ltd. (Flamingo Pharmaceuticals Ltd.),Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmabharat.com/flamingo-pharmaceuticals-hiring-for-row-regulatory-affairs/,hr@flamingopharma.com,+91-22-33107500 (https://flamingopharma.com/contact-us/),Experience: 0–1 Year; Salary: ₹3.2 – ₹4.5 LPA (Estimated) (Source: https://pharmabharat.com/regulatory-affairs-trainees-at-flamingo-pharmaceuticals-freshers/),Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Fresenius Kabi India Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.fresenius-kabi.com/us/careers,careers@fresenius-kabi.com,+91 124 4885000 (https://www.fresenius-kabi-oncology.com/contact),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Fresenius Kabi Oncology Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.fresenius-kabi-oncology.com/careers.html,contactus.india@fresenius-kabi.com,+91 124 4885000 (https://www.fresenius-kabi-oncology.com/careers.html),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Galentic Pharma (India) Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://galentic.com/careers/,careers@galentic.com,+91 22 6904 2400 (https://galentic.com/careers/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Galpha Laboratories Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.galpha.com/careers.html,hrmumbai@galpha.com,"+91-22-2654-4999 / 3040-0999, https://www.galpha.com/careers.html ; 1800-228-911 (https://www.galpha.com/careers.html)",Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Gangan Pharmaceuticals,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://gaganpharmaceuticals.com/contact-us/,gaganpharma03@gmail.com,+91-7230890003 (https://gaganpharmaceuticals.com/contact-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Geltec Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://ichapps.com/job/walk-in-drive-at-geltec-pvt-ltd-bangalore,srinivas.hr@geltec.in,080-67478484 (https://ichapps.com/job/walk-in-drive-at-geltec-pvt-ltd-bangalore),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Gennova Biopharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.linkedin.com/posts/vishalkarad_gennovabio-mail-your-cv-application-at-activity-7383400119838109696-J2Nv,vishal.karad@gennova.bio,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Genom Biotech Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://genomworlds.com/career.php,recruitment@genompharmacopoeia.com,+91-9022212220 (https://genomworlds.com/concatus.php),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
German Remedies Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Gland Pharma Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://glandpharma.com/contact-us,gland@glandpharma.com; hr.vizag@glandpharma.com,+91-40-30510999 (https://glandpharma.com/contact-us),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Glenmark Life Sciences Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Glenmark Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://glenmarkpharma.com/contact-us/ ; https://career.glenmarkpharma.com/ ; https://www.linkedin.com/posts/pratik-s-ankalekar-8862b298_hiring-usfda-indore-activity-7474010179743801344-kWMd,indore.recruitment@glenmarkpharma.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Global Calcium Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://globalcalcium.com/careers,info@globalcalcium.com,080-4055 4500 (https://globalcalcium.com/contact-us),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Glocal Healthcare Systems Private Limited,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://ghspl.com/contact,hr-ops@ghspl.com,+91 3346000450 (https://ghspl.com/contact),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Godavari Drugs Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Goodcare Pharma Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,"Minimum 3 years of experience in OTC Ayurvedic, Pharma, or FMCG sectors; salary not publicly stated",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Gopaldas Visram & Co. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://gopaldasvisram.com/careers.html,info@gopaldasvisram.in,+91 22 42554913 (https://gopaldasvisram.com/careers.html),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Gopaldas Visram & Company Limited,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://in.linkedin.com/company/gopaldas-visram-co,hr@gopaldasvisram.org,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Granules India Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
GSP Crop Science Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.gspcrop.in/about/careers,recruitment@gspcrop.in,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Gufic Biosciences Ltd.,"Officer / Senior Officer – QC (Microbiology) walk-in interview on August 22, 2026 at Gufic Biosciences Limited, Plot No. 48, Smart Industrial Park, Natrip, Pithampur, Dhar, Madhya Pradesh",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmabharat.com/gufic-biosciences-is-hiring-for-officer-senior-officer-qc-microbiology/,recruitment.indore@guficbio.com,Not publicly verified,Experience: 2–6 years; Salary: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
