Company Name,Public HR / Careers / Recruitment Email,Public Source URL,Public Phone Text (if available),August 16–29 Role / Status,Eligibility / Salary,Verification Note
Galentic Pharma (India) Pvt. Ltd.,careers@galentic.com,https://galentic.com/careers/,+91 22 6904 2400 (https://galentic.com/careers/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Galpha Laboratories Ltd.,hrmumbai@galpha.com,https://www.galpha.com/careers.html,"+91-22-2654-4999 / 3040-0999, https://www.galpha.com/careers.html",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Gangan Pharmaceuticals,gaganpharma03@gmail.com,https://gaganpharmaceuticals.com/contact-us/,+91-7230890003 (https://gaganpharmaceuticals.com/contact-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Geltec Pvt. Ltd.,srinivas.hr@geltec.in,https://ichapps.com/job/walk-in-drive-at-geltec-pvt-ltd-bangalore,080-67478484 (https://ichapps.com/job/walk-in-drive-at-geltec-pvt-ltd-bangalore),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Gennova Biopharmaceuticals Ltd.,vishal.karad@gennova.bio,https://www.linkedin.com/posts/vishalkarad_gennovabio-mail-your-cv-application-at-activity-7383400119838109696-J2Nv,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Genom Biotech Pvt. Ltd.,recruitment@genompharmacopoeia.com,https://genomworlds.com/career.php,+91-9022212220 (https://genomworlds.com/concatus.php),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Gland Pharma Ltd.,gland@glandpharma.com,https://glandpharma.com/contact-us,+91-40-30510999 (https://glandpharma.com/contact-us),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Gland Pharma Ltd.,hr.vizag@glandpharma.com,https://glandpharma.com/contact-us,+91-40-30510999 (https://glandpharma.com/contact-us),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Glenmark Pharmaceuticals Ltd.,indore.recruitment@glenmarkpharma.com,https://www.linkedin.com/posts/pratik-s-ankalekar-8862b298_hiring-usfda-indore-activity-7474010179743801344-kWMd,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Glocal Healthcare Systems Private Limited,hr-ops@ghspl.com,https://ghspl.com/contact,+91 3346000450 (https://ghspl.com/contact),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Gopaldas Visram & Company Limited,hr@gopaldasvisram.org,https://in.linkedin.com/company/gopaldas-visram-co,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
GSP Crop Science Pvt. Ltd.,recruitment@gspcrop.in,https://www.gspcrop.in/about/careers,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Gufic Biosciences Ltd.,recruitment.indore@guficbio.com,https://pharmabharat.com/gufic-biosciences-is-hiring-for-officer-senior-officer-qc-microbiology/,Not verified,"Officer / Senior Officer – QC (Microbiology) walk-in interview on August 22, 2026 at Gufic Biosciences Limited, Plot No. 48, Smart Industrial Park, Natrip, Pithampur, Dhar, Madhya Pradesh",Experience: 2–6 years; Salary: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Gujarat Themis Biosyn Ltd.,hrm@gtbl.in.net,https://nsearchives.nseindia.com/corporate/GUJARATTHEMIS_26052026184426_NewspaperResultsGTBL31032026.pdf,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Harman Finochem Ltd.,careers@harmanfinochem.com,https://harmanfinochem.com/careers/,+91 22 26528080 (https://harmanfinochem.com/get-in-touch/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
HealthBiotech Ltd.,hrm@healthbiotech.in,https://healthbiotech.in/careers/,+91 987 688 2973 (https://healthbiotech.in/careers/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Hema Laboratories Pvt. Ltd.,hr@hemalaboratories.com,https://hemalaboratories.com/careers.php,+91 9640440365 (https://hemalaboratories.com/contact.php),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Hetero Drugs Ltd.,talent@hetero.com,https://www.hetero.com/life-at-hetero,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Hetero Healthcare Ltd.,hr@heterohealthcare.com,https://www.heterohealthcare.com/help,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Hikal Ltd.,hr@hikal.com,https://www.hikal.com/page/visit-us,Not verified,Officer Production walk-in / job posting on 17–19 August 2026,"1–5 Yrs, 1–5.5 Lacs PA",Public source-cited HR/careers-context contact. Confirm with company before applying.
Hindustan Unilever Ltd. (Health & Wellbeing),hul.recruitment@unilever.com,https://www.unilevernotices.com/recruitment-notices/india-english.html,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Hiral Labs Ltd.,hr@hirallabs.com,https://hirallabs.com/contact.php,+91 9634949248 (https://hirallabs.com/contact.php),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
HLL Lifecare Ltd.,career@lifecarehll.com,https://www.lifecarehll.com/career,+91-471 2354949 (https://www.lifecarehll.com/contact),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
HOF Pharmaceuticals Ltd.,hr@hofpharma.com,https://hofpharma.com/career/,+91 6353534507 (https://in.linkedin.com/company/hof-pharma-ltd),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
HOF Pharmaceuticals Ltd. (HOF Pharma),recruitment@hofpharma.com,https://pharmajobspost.in/hof-pharma-recruitment-2026-ipqa-officer-executive-engineering-manager-jobs-in-ahmedabad/,Not publicly verified,"IPQA Officer / Executive vacancy published on August 14, 2026 for Sanand, Ahmedabad, Gujarat facility",B.Pharm / M.Pharm with 1–4 years of relevant IPQA/Quality Assurance experience; Salary: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Ichor Biologics Pvt. Ltd.,resumes@ichor.in,https://ichor.in/career/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Ikon Remedies Pvt. Ltd.,hr@ikonremedies.com,https://ikonremedies.com/contact-us/,+91 84848 60669 / +91 89564 61426 (https://ikonremedies.com/contact-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Ind-Swift Laboratories Ltd.,hr.ho@indswiftlabs.com,https://www.indswiftgroup.com/contact-us/,+91-7087978441 (https://www.indswiftgroup.com/contact-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Indian Immunologicals Ltd.,careers@indimmune.com,https://www.indimmune.com/careers/job-opportunities/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Indoco Remedies Ltd.,career@indoco.com,https://www.indoco.com/hr-careers.asp,08326624209 / 7391054322 - https://www.indoco.com/hr-recruitments-Goa-II.asp,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Indoco Remedies Ltd.,hrd2@indoco.com,https://www.indoco.com/hr-careers.asp,08326624209 / 7391054322 - https://www.indoco.com/hr-recruitments-Goa-II.asp,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Intas Pharmaceuticals Ltd.,hrd_matoda@intaspharma.com,https://www.intaspharma.com/careers/,Not publicly verified,"Walk-In Drive on August 23, 2026 for OSD Manufacturing, OSD Packing, QA IPQA, QC, and Engineering at Intas Pharmez, Ahmedabad, Gujarat (Source: https://pharmabharat.com/intas-pharma-is-hiring-for-manufacturing-packing-qa-qc-and-engineering/)","Qualification: M.Sc., M.Pharm., B.Pharm., Diploma, ITI, B.E., B.Tech., M.E., M.Tech.; Experience: 1 to 10 years; Salary/CTC: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Ipca Laboratories Ltd.,hrd.mumbai@ipca.com,https://www.ipca.com/job-opportunities-in-pharmaceutical-companies/,Not verified,"Walk-in interview on 16 August 2026 for Production, Pilot Plant, Engineering & QC (Apprentice/Trainee/Chemist/Technician/Officer/Sr. Officer); Walk-in interview on 23 August 2026 for Bio-manufacturing roles in QA (5-9 yrs), QC (5-9 yrs), Drug Substance & Product Manufacturing, Engineering & Maintenance, and Mammalian Pilot; QA QMS opening (1-3 yrs, B.Pharm/M.Pharm) with application deadline 20 August 2026.","Experience: 0 to 12 years (specifically 1-3 years for QA QMS, 2-6 years for Aseptic Technicians, 2-12 years for Engineering & Maintenance, and 5-9 years for QA/QC Bio-manufacturing). Salary/CTC: Not publicly stated.",Public source-cited HR/careers-context contact. Confirm with company before applying.
J B Chemicals & Pharmaceuticals Ltd.,careers@jbpharma.com,https://jbpharma.com/contact-us/,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Jagsonpal Pharmaceuticals Ltd.,ashish.thakur@jagsonpal.com,https://in.linkedin.com/jobs/view/manager-sr-manager-%E2%80%93-medical-services-medical-affairs-medico-marketing-at-jagsonpal-pharmaceuticals-ltd-4147110630,+919821206646 (https://in.linkedin.com/jobs/view/manager-sr-manager-%E2%80%93-medical-services-medical-affairs-medico-marketing-at-jagsonpal-pharmaceuticals-ltd-4147110630),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Jamkas Pharmaceuticals Pvt. Ltd.,hr@jamkaspharma.com,https://pharmajobspost.in/jamkas-pharmaceuticals-recruitment-2026-multiple-job-openings/,"+91 70185 78894, +91 95419 13465 - https://pharmajobspost.in/jamkas-pharmaceuticals-recruitment-2026-multiple-job-openings/",Not verified,"Experience: 1+ years to 6+ years across multiple positions (Wetlab Analyst: 1+ yrs; HPLC Analyst, Officer - Production, IPQA: 3+ yrs; Production QMS: 6+ yrs). Salary/CTC: Not publicly stated.",Public source-cited HR/careers-context contact. Confirm with company before applying.
Jenburkt Pharmaceuticals Ltd.,hr@jenburkt.com,https://www.linkedin.com/posts/jenburkt_jenburktpharmaceuticals-nowhiring-lifesciences-activity-7397857615390781440-BYLR,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Jupiter Life Sciences Pvt. Ltd.,jupiterlife@ymail.com,https://www.facebook.com/jupiterlife/,+91 7986052219 (https://www.facebook.com/jupiterlife/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Kaiser Drugs Pvt. Ltd.,kaiserlko@gmail.com,https://in.linkedin.com/posts/kaiser-drugs-private-limited_we-are-hiring-contact-us-at-91-9554962313-activity-7281939881252020224-3NXk,+91 9554962313 (https://in.linkedin.com/posts/kaiser-drugs-private-limited_we-are-hiring-contact-us-at-91-9554962313-activity-7281939881252020224-3NXk),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Kewal Kiran Clothing Limited,hr@kewalkiran.com,https://www.kewalkiran.com/career.php,"+91 22 6901 4400, https://www.kewalkiran.com/career.php",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Khandelwal Laboratories Pvt. Ltd.,hrd@khandelwallab.com,https://www.sidculindustries.com/khandelwal-laboratories-pvt-ltd-pantnagar-rudrapur/,022 4925 2828 (https://www.khandelwallab.com/contact.html),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Krishlar Remedies,krishlarpharmaceutical@gmail.com,https://www.krishlarpharma.com/contact-us/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Kusum Healthcare Pvt. Ltd. (Kusum Pharm),prashant.singh@kusum.com,https://www.pharmatutor.org/content/june-2026/pharma-and-science-jobs-in-qc-production-store-and-qa-at-kusum-healthcare,+91 9251554109 (https://pharmabharat.com/0-4-years-exp-join-kusum-healthcare-is-hiring-for-production-department/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Lactose India Ltd.,vinayak@lactoseindialimited.com,https://pharmabharat.com/lactose-india-limited-is-hiring-for-production-fd-jobs/,Not publicly verified,Not verified,"Experience: 0-1 year for QC Microbiology, 3-4 years for R&D/Process Development, and 5-6 years for Production/F&D; Salary: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Laurus Labs Ltd.,talents@lauruslabs.com,https://www.laurusgenerics.us/careers.html,833-352-8787 (https://www.laurusgenerics.us/careers.html),Not verified,Experience: 2 to 7 years for technical and QA/production roles; Salary/CTC: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Leeford Healthcare Ltd.,talent@leeford.in,https://www.linkedin.com/posts/adil-arfi-7a7a0311_leeford-at-a-glance-activity-7277188586708316160-9ltj,9875961129 (https://www.linkedin.com/posts/adil-arfi-7a7a0311_leeford-at-a-glance-activity-7277188586708316160-9ltj),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Lifecare Neuro Products Ltd.,hr@lifecareneuro.com,https://pharmajobspost.in/lifecare-neuro-product-ltd-hiring-2026-fd-qa-qc-rm-store-production-jobs-in-baddi/,+91 7018994788 - https://pharmajobspost.in/lifecare-neuro-product-ltd-hiring-2026-fd-qa-qc-rm-store-production-jobs-in-baddi/,Not verified,"Experience: 1–10 years depending on department and role (e.g., 1–2 years for officers/chemists, 3–4 years for senior research associates, 7–10 years for senior executives/operators). Salary: Ranges from 15,000 to 65,000 INR per month, negotiable for deserving candidates.",Public source-cited HR/careers-context contact. Confirm with company before applying.
Lincoln Parenteral Ltd.,hr@lincolnpharma.com,https://www.lincolnpharma.com/careers/,+91-79-41078000 (https://www.lincolnpharma.com/contact/),"QA (Officer / Sr. Officer / Executive) and Production (Officer / Sr. Officer) walk-in interview roles dated August 11–23, 2026 at Khatraj API Plant, Gandhinagar",Experience: 1 to 5 Years; Salary: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Lupin Ltd.,careers@lupin.com,https://www.lupin.com/contact-us,Not publicly verified,Not verified,"Experience: 1–7 years in QA/Production/OSD; Qualification: B.Pharm, M.Pharm, B.Sc, M.Sc; Salary/CTC: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Lyka Labs Ltd.,recruit.ank@lykalabs.com,https://pharmastuff.org/job/lyka-labs-walk-in-qc-qa-production,Not publicly verified,"QA, QC & Production (Lyo Operator) vacancy verified for walk-in interview on August 11, 2026 at Ankleshwar, Gujarat (Aug 16–29 window: Not verified)","B.Sc, M.Sc, B.Pharm, M.Pharm, ITI with 1 to 13 years of experience (IPQA Officer: 1–3 years; QC HPLC: 1–5 years; QMS Executive: 1–5 years; Lyo Operator: Freshers); Salary: ₹2.4 LPA – ₹12 LPA",Public source-cited HR/careers-context contact. Confirm with company before applying.
Macleods Pharmaceuticals Ltd.,jobs@macleodspharma.com,https://www.macleodspharma.com/careers/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Makcur Laboratories Ltd.,hr@makcur.com,https://www.makcur.com/career.html,+91 96248 39922 (https://www.makcur.com/career.html),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Malladi Drugs & Pharmaceuticals Ltd.,careers@malladi.co.in,https://www.malladi.com/contact-us,+91 44 6687 6900 (https://www.malladi.com/contact-us),Not verified,"Experience: 2–10 years across QA roles (IPQA: 2–5 Years, AQA: 4–7 Years, Validation: 7–10 Years); Salary: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Mallisetty Pharmaceuticals India Pvt. Ltd.,hr@mallisettipharma.com,https://mallisettipharma.com/contact-us/,+91 96187 82121 / +91 99497 19543 / +91 90596 82121 (https://mallisettipharma.com/contact-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Mankind Pharma Ltd.,careers@mankindpharma.com,https://www.mankindpharma.com/career/,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Marksans Pharma Ltd.,career@marksanspharma.com,https://www.instagram.com/p/Db5eWpGMwbS/,9607909654 / 7030064483 - https://www.instagram.com/p/DWyQhGMl-zj/?hl=en,Not verified,1-8 Years - Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Mediwin Laboratories Pvt. Ltd.,hr1@mediwinpharma.com,https://mediwinpharma.com/career/,+91-8238810025 (https://mediwinpharma.com/career/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Medley Pharmaceuticals Ltd.,hr@medleylab.com,https://medleylab.com/careers/career.html,+91-22-1234 5678 (https://medleylab.com/careers/career.html),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Medopharm Pvt. Ltd.,jobs@medopharm.com,https://www.medopharm.com/career/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Mepro Pharmaceuticals Pvt. Ltd.,hr@mepro.in,https://www.linkedin.com/posts/ugrejiya-mihir-411789238_wearehiring-hiring-pharmajobs-activity-7492784268939558912-IZ-5,Not publicly verified,"QA – Assistant Manager (Vendor Qualification & Audit) and F&D – Officer posted on August 11, 2026","QA – Assistant Manager: B.Pharm / M.Pharm, Minimum 8 Years experience; F&D – Officer: B.Pharm / M.Pharm, Minimum 3 Years experience. Salary/CTC: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Meyer Organics Pvt. Ltd.,careers@meyer.co.in,https://meyer.co.in/site3/jobs/,+91 22-2581-7000 (Source: https://meyer.co.in/contact-us.html),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Micro Labs Ltd.,hrrecruit@microlabs.in,https://in.linkedin.com/company/microlabslimited,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Milan Laboratories India Pvt. Ltd.,talentpool@milanlabs.com,https://milanlabs.com/careers/,+91 80970 55531 (https://milanlabs.com/careers/),"IPQA & Production Officer (OSD) - Walk-in Interview on 23 August 2026 at Kamothe, Panvel (Source: https://pharmajobalert.in/milan-laboratories-india-pvt-ltd-walk-in-23-08-2026-sunday-for-multiple-positions/)",Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Morepen Laboratories Ltd.,hr.baddi@morepen.com,https://pharmawisdom.co.in/morepen-laboratories-walk-in-on-9th-aug-2026/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Mylan Laboratories Ltd.,careers@mylan.in,https://company.naukri.com/mylan-india-jobs/contact-us.html,+91.40.30866666 + https://company.naukri.com/mylan-india-jobs/contact-us.html,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Natco Pharma Ltd.,seshasthri.tsp@natcopharma.co.in,https://www.linkedin.com/posts/natcopharma_natcopharma-oncologyjobs-pharmacareers-activity-7279766385843433473-CDPl,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Nectar Lifesciences Ltd.,hr@neclife.com,https://www.linkedin.com/posts/nectar-life-science_nectar-lifesciences-ltd-i-pharmaceutical-activity-7019293466828390400-GBK6,"+91-1762-532598, +91-6284702108 (Source: https://pharmastuff.org/job/neclife-multiple-departments-hiring)",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Neon Laboratories Ltd.,hr@neongroup.com,https://www.linkedin.com/posts/neon-laboratories_neon-laboratories-limited-is-hiring-for-accounts-activity-7403010711754297344-zJHo,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Nitin Lifesciences Ltd.,jobs@nitinlifesciences.com,https://pharmabharat.com/nitin-lifesciences-ltd-hiring-for-quality-control-assurance-and-microbiology/,"7831948425, 6397241351 (https://pharmabharat.com/nitin-lifesciences-ltd-hiring-for-quality-control-assurance-and-microbiology/)",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Norex Flavours Pvt. Ltd.,jobs@norex.in,https://www.facebook.com/norexflavours/posts/were-hiring-join-norex-flavours-private-limited-and-become-part-of-a-team-thats-/1140373448316148/,Not verified,"Quality Assurance Manager (5-8 years experience, Dhanaura, U.P., active until August 27, 2026; Source: https://bebee.com/in/jobs/quality-assurance-manager-norex-flavours-private-limited-dhanaura--talent-628544467580226348)",Experience: 5-8 years; Salary/CTC: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Oneiro Life Sciences Pvt. Ltd.,recruitment@oneirolifecare.com,https://www.oneirolifecare.com/career.aspx,+91-265-2341648 (https://www.oneirolifecare.com/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Otsuka Pharmaceutical India Pvt. Ltd.,careers@otsukapharma.in,https://otsukapharma.in/career-opi/,Not publicly verified,"Walk-In Interview on 22nd August 2026 for Quality Assurance and Quality Control at Ahmedabad, Gujarat",Experience: 2 to 6 Years; Qualification: B.Sc. / B.Pharm. / M.Sc. / M.Pharm; Salary/CTC: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Pace Pharmaceuticals Pvt. Ltd.,hr@pacebiotech.com,https://www.pacebiotech.com/career/,"+91-9896401911, +91-8894789974 (https://www.pacebiotech.com/career/)",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Pacific Pharmaceuticals Ltd.,jobs@pacificpharmaceuticals.com.pk,https://www.linkedin.com/posts/pacific-pharma_jobs-careeropportunity-pharmaceuticals-activity-7314885708110880768-nLjT,"03028440891, https://www.linkedin.com/posts/pacific-pharma_jobs-careeropportunity-pharmaceuticals-activity-7314885708110880768-nLjT",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Palsons Derma Pvt. Ltd.,hr@palsonsderma.com,https://www.linkedin.com/posts/palsonsderma_wearehiring-hiring-contentstrategist-activity-7322234070506049537-HHQ-,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Panacea Biotec Ltd.,careers@panaceabiotec.com,https://www.panaceabiotec.com/en/career,"+91-9779422879 (Nitesh Mehta, HR) / +91-8699788830 (Ankit Sharma, HR), https://pharmabharat.com/panacea-biotec-walk-in-interviews-production-qc-qa/",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Panacea Biotec Ltd.,hr@panaceabiotec.com,https://www.panaceabiotec.com/en/career,"+91-9779422879 (Nitesh Mehta, HR) / +91-8699788830 (Ankit Sharma, HR), https://pharmabharat.com/panacea-biotec-walk-in-interviews-production-qc-qa/",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Panacea Biotec Ltd.,niteshmehta@panaceabiotec.com,https://www.panaceabiotec.com/en/career,"+91-9779422879 (Nitesh Mehta, HR) / +91-8699788830 (Ankit Sharma, HR), https://pharmabharat.com/panacea-biotec-walk-in-interviews-production-qc-qa/",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Polymed Medical Devices,career@polymedicure.com,https://www.polymedicure.com/careers/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Prakash Chemicals International Pvt. Ltd.,careers@prakashchemicals.com,https://pciplindia.com/work-with-us/,+91-265-6126000 (https://pciplindia.com/work-with-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
RPG Life Sciences Ltd.,recruitments@rpgls.com,https://www.linkedin.com/posts/rpg-life-sciences_hiring-pharmaindustry-rpglifesciences-activity-7420421916425080832-Psy0,+91-22-69757100 (https://www.rpglifesciences.com/website/contact_us.php),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Rusan Pharma Ltd.,hrmumbai@rusanpharma.com,https://www.rusanpharma.com/career.html,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
S Kant Healthcare Ltd.,career@skant.com,https://skant.com/employee-engagement/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Sai Life Sciences Ltd.,careers@sailife.com,https://sailife.com/careers/,Not publicly verified,Production Professionals / Production Chemist (API) Walk-In Interview on 17 August 2026 at Hyderabad (Source: https://www.instagram.com/p/DXHqtBbkvuX/),Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Sava Healthcare Ltd.,careers@savaglobal.com,https://in.linkedin.com/company/sava-healthcare-limited,+91 20 3051 6100 (Source: SAVA Healthcare official website and careers page),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Sequent Scientific Ltd.,praveen.g@viyash.com,https://pharmajobspost.in/viyash-scientific-limited-hiring-2026-qc-production-qa-warehouse-jobs/,+91 8008684988,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Serum Institute of India Pvt. Ltd.,hr@seruminstitute.com,https://www.seruminstitute.com/contact_us.php,+91-20-26993900,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Shalina Healthcare Pvt. Ltd.,recruitment@shalina.com,https://www.linkedin.com/posts/shalina-healthcare_shalinahealthcare-joinshalinahealthcare-activity-7061362235717074944-7-Kx,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Shilpa Medicare Ltd.,hr.bfrnd@shilpamedicare.com,https://pharmastuff.org/job/formulation-development-bpharm-mpharm,+91-9686397127 (https://shilpapharma.com/careers/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Shree Ganesh Remedies Ltd.,careers@ganeshremedies.com,https://www.ganeshremedies.com/careers,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Shreya Life Sciences Pvt. Ltd.,hrd@shreya.co.in,https://www.pharmatutor.org/pharma-jobs/vacancies/mar11/walk-in-sales-vacancies-shreya-lifesciences,022 66938222 / 42220222 / 42220200 (Corporate/HR contact via https://www.shreya.co.in/contacs.html),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Siflon Drugs & Pharmaceuticals Pvt. Ltd.,hr@siflonpharma.com,https://siflonpharma.com/,7799453235 (Source: https://pharmabharat.com/siflon-pharma-is-hiring-freshers-experienced-for-production-rd-jobs/),Production & R&D Walk-In Interview on 16th August 2026 at Siflon Pharma Pvt. Ltd. Unit II (Source: https://www.instagram.com/p/DbvWRC_IZNE/),Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Sigma Laboratories Ltd.,careers@sigmalab.in,https://sigmalab.in/career.html,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Sri Krishna Pharmaceuticals Ltd.,jayakishore.gollapalli@srikrishnapharma.com,https://www.srikrishnapharma.com/careers/,+91-40-2720 1101/02 (https://www.srikrishnapharma.com/careers/); WhatsApp: 7093161075 (https://pharmacareer.in/sri-krishna-pharmaceuticals-ltd-walk-in-on-august-18-19-20-and-21-2026/),"Walk-in Interview scheduled for August 18, 19, 20, and 21, 2026 at Sri Krishna Pharmaceuticals Ltd., A-35, IDA Nacharam, Hyderabad - 500 076 (Source: https://pharmacareer.in/sri-krishna-pharmaceuticals-ltd-walk-in-on-august-18-19-20-and-21-2026/)",Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
